Sitio,Región,Referencia,Latitud,Longitud,Cacicazgos,Formativo,Colonial,Paleoindio,Republicano,Total,Fechas
"La Elvira","Valles alto Calima y alto y medio del Cauca","Gnecco & Illera 1989; Gnecco & Salgado 1989; Gnecco & Mohammed 1994; Gnecco 1997; Gnecco 7 Mora 1997; Mora & Gnecco 2003",2.5062472,-76.5583472,4,3,0,1,0,8,-3650; -2930; -760; -30; 390; 390; 470; 700
"La Escocia","Valles alto Calima y alto y medio del Cauca","Gähwiler, 1988",3.660,-76.580,0,1,0,0,0,1,-4150
"La Esperanza","Macizo Andino del sur","Groot de Mahecha, 1991",1.02,-77.51,1,0,0,0,0,1,1410
"La Estación","Alto Magdalena","Duque Gómez, & Cubillos, 1981",1.81063,-76.28998,1,0,0,0,0,1,405
"La Estrella","Sierra Nevada","Herrera 1985; Reichel-Dolmatoff 1986",11.0875027,-73.9363083,2,0,0,0,0,2,970; 1550
"La Hormiga","Llanuras del Caribe cuencas bajas Sinú y San Jorge","Plazas; Falchetti; Sáenz & Archila 1993",8.708061,-74.9117916,2,0,0,0,0,2,250; 310
"La Isla","Llanuras del Caribe cuencas bajas Sinú y San Jorge","Angulo, 1983; Archila 1991; Santos & Ortiz-Troncoso 1986.",10.79414975,-75.22296323,1,0,0,0,0,1,255
"La Julia","Alto Magdalena","Drennan, 1993",2.148669,-76.064511,0,0,0,0,1,1,1855
"La Llanada","Valles alto Calima y alto y medio del Cauca","Salgado, 1986",4.355374176,-76.29088383,3,0,0,0,0,3,740; 950; 960
"La Loma","Altiplano Cundiboyacense","Garcia, & Gutierrez, 1985",4.797192,-74.289294,0,0,1,0,0,1,1640
"La Magnolia","Costa Pacífica","Patiño, 1993",1.661617094,-78.74732656,2,0,0,0,0,2,-470; -370
"La Maporita","Tierras bajas orientales","López, et al. 1993; Peña, 1992.",5.17409250,-72.55414952,1,1,0,0,0,2,-1670; 390
"La Mireya","Llanuras del Caribe cuencas bajas Sinú y San Jorge","Reichel-Dolmatoff, 1986; Plazas, Falchetti; Sáenz & Archila 1993; Plazas & Falchetti 1981",8.04251,-75.48144,1,0,0,0,0,1,905
"La Muela","Altiplano Cundiboyacense","Pradilla, et al. 1991; Pradilla, Villate & Ortiz 1990;1992.",5.55000,-73.36000,3,0,1,0,0,4,-150; -150; 670; 1730
"La Pedregosa 1","Magdalena medio","López, 1991",6.051591,-74.11050,1,0,0,0,0,1,1100
"La Pedrera","Tierras bajas orientales","Hildebrand, &  Reichel, 1985",-1.317514,-69.587694,3,0,0,0,0,3,560; 560; 1110
"La Ribera","Magdalena medio","Chacín Lara,1993",3.738019,-75.6727,1,0,0,0,0,1,1460
"La Selva (Risaralda).","Valles alto Calima y alto y medio del Cauca","Patiño, 1996; 1996.",5.01510560,-75.74560566,4,1,0,2,0,7,-7540; -5735; -3875; 330; 420; 690; 990
"La Sofía","Valles alto Calima y alto y medio del Cauca","Gähwiler 1983; 1989",4.500,-76.280,1,0,0,0,0,1,1050
"La Soledad","Valles alto Calima y alto y medio del Cauca","Salgado, 1986 cita a Plazas & Falchetti.",5.54925,-75.135,1,0,0,0,0,1,430
"La Suiza","Valles alto Calima y alto y medio del Cauca","Herrera, et al. 1982-83; Bray, et al. 1981; Scott 1981",3.849881459,-76.47484737,2,1,0,0,0,3,-2940; 1190; 1280
"La Virginia","Valles alto Calima y alto y medio del Cauca","Bray, 1981; Bray, et al. 1981; Gahwiler 1989.",3.570,-76.510,1,0,0,0,0,1,610
"Laguna baja","Valles alto Calima y alto y medio del Cauca","Jaramillo, 1989",4.90520225,-75.35516720,0,0,0,0,1,1,1895
"Landázuri, Loma del Colegio","Magdalena medio","Lleras, 1988",6.2211642,-73.81427542,1,0,0,0,0,1,1490
"Las Animas","Sierra Nevada","Herrera, 1985",11.13622145,-73.92255203,1,1,0,0,0,2,-1430; 580
"Las Cruces","Macizo Andino del sur","Plazas1977-78 y Uribe 1976, 1977-78. Ver crítica en Salgado et al. 1995 y sobre la secuencia Capulí-Piartal-Tuza ver Cárdenas 1989, 1992; Doyon(1993. Uribe 1992. Cárdenas,1996.",0.853887611,-77.58939248,2,0,0,0,0,2,45; 1080
"Las Delicias-Bogotá","Altiplano Cundiboyacense","Enciso, 1989; 1991;1993; Cárdenas 1996; Delgado 1996",4.610,-74.220,2,0,0,0,0,2,770; 940
"Las Delicias-Timbiquí","Costa Pacífica","Patiño, 1987;1988",2.82459354,-77.71972256,1,0,0,0,0,1,-190
"Las Mercedes","Llanuras del Caribe cuencas bajas Sinú y San Jorge","Reichel-Dolmatoff, 1965: 122-30 en Stuiver 1969",5.752778,-75.271389,1,0,0,0,0,1,590
"Las Palmas 1","Llanuras del Caribe cuencas bajas Sinú y San Jorge","Plazas, et al. 1993; Plazas, et al. 1979; Plazas et al., 1981:14,98",8.747911303,-74.99829436,2,0,1,0,0,3,1305; 1415; 1640
"Limoncito","Llanuras del Caribe cuencas bajas Sinú y San Jorge","Plazas, et al. 1993; Plazas; Falchetti; Sáenz & Archila 1993",8.6056138,-74.960072,1,0,0,0,0,1,780
"Loma de López","Llanuras del Caribe cuencas bajas Sinú y San Jorge","Angulo, 1978; Archila 1993.",10.78047203,-74.26606433,2,0,0,0,0,2,1005; 1005
"Los Jagueyes","Llanuras del Caribe cuencas bajas Sinú y San Jorge","Angulo, 1978",10.967258,-74.374139,1,0,0,0,0,1,335
"Los Santos-Los Teres","Montaña Santandereana","Cadavid, 1984",6.730,-73.130,1,0,0,0,0,1,1160
"Lusitania","Valles alto Calima y alto y medio del Cauca","Monsalve, 1985; Herrera et al. 1987;1992:",3.86832,-76.4665527,1,1,0,0,0,2,-3200; 480
"Maina","Costa Pacífica","Patiño, 1989; 1991",1.9931,-78.631583,1,0,0,0,0,1,880
"Malagana","Valles alto Calima y alto y medio del Cauca","Botiva Contreras,& Forero, 1991;  Herrera, Cardale & Bray, 1994; Herrera, Cardale & Rodríguez, 1994; Cardale & Herrera 1994; Archila 1996; Bray;  Herrera & Cardalel 1998;",3.487001262,-76.35342885,1,0,0,0,0,1,70
"Malambo","Llanuras del Caribe cuencas bajas Sinú y San Jorge","Angulo, 1962; 1981; 1995:28; Archila 1991",10.8597475,-74.77687409,3,1,0,0,0,4,-1120; 60; 565; 680
"María Jacinta","Llanuras del Caribe cuencas bajas Sinú y San Jorge","Angulo, 1983; Archila 1991",10.64979975,-75.17253093,2,0,0,0,0,2,415; 1050
"Maridíaz","Macizo Andino del sur","Cárdenas, 1992",1.187222,-77.2831101,0,0,2,0,0,2,1615; 1720
"Marín","Altiplano Cundiboyacense","Boada, 1984; 1987;1988; 1998; Boada et al, 1989; Boada et al, 1989a.",5.538142,-73.483989,2,0,0,0,0,2,1250; 1350
"Marta","Uraba, alto Sinú","Santos, & Ortíz, 1986; Van Zweden 1986; 1994; Archila 1993",9.467892409,-75.61135767,4,0,0,0,0,4,-180; -130; -60; 210
"Mataje","Costa Pacífica","Reichel-Dolmatoff, 1986",1.8579,-76.2096,3,0,0,0,0,3,-400; -300; 10
"Mesita A","Alto Magdalena","Duque Gómez, & Cubillos, 1983",1.8865,-76.302839,1,0,0,0,0,1,170
"Mesita B","Alto Magdalena","Duque Gómez, 1964; Duque Gómez, & Cubillos, 1988; Reichel-Dolmatoff, 1972; Duque Gómez, & Cubillos, 1983.",1.886563628,-76.30171256,7,0,0,0,0,7,-130; -10; 20; 30; 290; 425; 1180
"Mesita C","Alto Magdalena","Cubillos, 1978; 1980",1.883985742,-76.30009609,2,0,0,0,0,2,255; 690
"Minguimalo","Costa Pacífica","Reichel Dolmatoff, & Dussan de Reichel Dolmatoff,1962",4.801850123,-76.87449133,4,0,0,0,0,4,832; 922; 1152; 1420
"Miraflores 1","Macizo Andino del sur","Correal, 1977-78; Uribe 1977-1978; Plazas 1977-1978; Cardale 1977-1978; Perdomo, et al. 1974",0.890,-77.670,3,0,0,0,0,3,845; 1030; 1180
"Miraflores 2","Macizo Andino del sur","Correal, 1977-78; Uribe 1977-1978; Plazas 1977-1978; Cardale 1977-1978; Perdomo, et al. 1974.",0.89000,-77.61000,2,0,0,0,0,2,1240; 1250
"Momil","Llanuras del Caribe cuencas bajas Sinú y San Jorge","Reichel-Dolmatoff, 1957; 1974; 1986; Archila 1993; Reichel-Dolmatoff, & Dussan 1956; 1974; Foster & Lathrap 1975",9.2274472,-75.672861,3,0,0,0,0,3,-200; -175; -170
"Monsú","Llanuras del Caribe cuencas bajas Sinú y San Jorge","Reichel-Dolmatoff, 1985; 1986;  Angulo, 1995; Rodríguez 1988; Wippern 1987; Archila 1991 y Oyuela 1993.",10.17995481,-75.45837908,0,9,0,0,0,9,-3350; -3050; -2320; -2250; -2225; -2220; -1290; -1280; -850
"Montañitas","Valles alto Calima y alto y medio del Cauca","Bray, et al., 1981; Bray 1981,  Gahwiler, 1988; 1989.",3.667627699,-76.54855362,1,0,0,0,0,1,-305
"Montecito","Valles alto Calima y alto y medio del Cauca","Gahwiler, 1989",3.641811,-76.591964,2,0,0,0,0,2,1130; 1170
"Moralba","Valles alto Calima y alto y medio del Cauca","Bray, & Moseley 1970",3.921183,-76.336428,6,2,0,0,0,8,-890; -800; 770; 920; 1240; 1335; 1480; 1550
"Morelia","Alto Magdalena","Llanos, 1987;1988;",2.058358,-76.0965,2,0,1,0,0,3,510; 900; 1700
"Negritos 5","Llanuras del Caribe cuencas bajas Sinú y San Jorge","Plazas, et al. 1993; Plazas, Falchetti; Sáenz & Archila 1993;",8.61447,-75.03457,1,0,0,0,0,1,130
"Nemocón","Altiplano Cundiboyacense","Cardale, 1976; Cardale, 1981.",5.143889,-73.871389,3,0,0,0,0,3,-260; -25; 70
"Nemocón IV","Altiplano Cundiboyacense","Correal, 1979",5.142689,-73.868239,0,0,0,0,0,0,
"Neusa","Altiplano Cundiboyacense","Rivera, 1992",5.177063172,-73.97900598,0,0,0,1,0,1,-6420
"Nuevo Colon","Altiplano Cundiboyacense","Lleras, 1986; 1989",5.330,-73.480,0,0,0,0,0,0,
"Nuevo Río Claro","Valles alto Calima y alto y medio del Cauca","Herrera, & Moreno, 1988; 1990;",4.99645,-75.5546472,1,0,0,0,0,1,980
"Ocache","Valles alto Calima y alto y medio del Cauca","Gahwiler, 1983",3.704315836,-76.50744196,1,0,0,0,0,1,1140
"Ordoñez I","Costa Pacífica","Salgado, & Stemper, 1995; Romero 1994, 1996",4.077442304,-77.05534122,3,0,0,0,0,3,845; 880; 1405
"Palestina","Magdalena medio","Salgado, & Stemper, 1991; Romero 1995; 1996",4.166424869,-77.13963866,7,0,2,0,0,9,-240; 990; 1135; 1185; 1265; 1285; 1425; 1640; 1780
"Palestina I","Costa Pacífica","Salgado, & Stemper, 1991; Romero 1994, 1996",4.166424869,-77.13963866,0,0,0,0,0,0,
"Palestina II","Costa Pacífica","",4.160708,-77.14624,0,0,0,0,0,0,
"Palmar","Llanuras del Caribe cuencas bajas Sinú y San Jorge","Angulo, 1983; Archila 1991.",10.600,-75.120,2,0,0,0,0,2,280; 740
"Palmaseca","Valles alto Calima y alto y medio del Cauca","Bray, & Moseley, 1970;Cubillos, 1984:289",3.528831,-76.454128,1,0,0,0,0,1,1140
"Palmira","Llanuras del Caribe cuencas bajas Sinú y San Jorge","Angulo, 1978",10.979408,-74.315008,1,0,0,0,0,1,500
"Palogordo","Montaña Santandereana","Lleras, 1986; Lleras, &  Vargas, 1990:129",6.73306,-73.213083,2,0,0,0,0,2,920; 1210
"Papayo","Llanuras del Caribe cuencas bajas Sinú y San Jorge","Plazas, et al. 1993",8.659669545,-75.03823308,1,0,0,0,0,1,460
"Pavitas","Valles alto Calima y alto y medio del Cauca","Gahwiler, 1988",3.668367,-76.551683,1,0,0,0,0,1,1530
