Número Laboratorio,Fecha AP,Región,Sitio,Fecha aC/dC,Etapa,Referencia,Título,Página,Tipo de fecha,Material,Fecha cristiana,Variación,Nivel,Profundidad,Contexto,Estructura,Período,Comentario,Incongruencias,Uso
A 27,870,Valles alto Calima y alto y medio del Cauca,Dardanelos,,Cacicazgos,Rodríguez 1996,Rescate Arqueológico en los sitios PK 187+400 ubicado en la Troncal del Gasoducto de Occidente.,X,,,780,70,,,Tumba,,,"Tumba 1, Individuo adulto? Calcinación parcial del cuerpo. 45 objetos cerámicos, 1 nariguera de tumbaga, 2 láminas fragmentadas de cobre.",FALSE,FALSE
A 28,730,Valles alto Calima y alto y medio del Cauca,Dardanelos,,Cacicazgos,Rodríguez 1996,Rescate Arqueológico en los sitios PK 187+400 ubicado en la Troncal del Gasoducto de Occidente.,X,,,780,70,,,Tumba,,,"Tumba 2, Entierro colectivo. Una mujer de 20-25 años acompañada por los huesos desarticulados de un niño y dos individuos adultos, uno de los cuales fue calcinado totalmente. Más de 800 objetos en cerámica, piedra y metal.",FALSE,FALSE
A 29,170,Valles alto Calima y alto y medio del Cauca,Dardanelos,,Colonial,Rodríguez 1996,Rescate Arqueológico en los sitios PK 187+400 ubicado en la Troncal del Gasoducto de Occidente.,X,,,780,60,,,Tumba,,,"Tumba 7, No se hallaron restos del cuerpo. 3 caracoles marinos.",FALSE,FALSE
A 30,6375,Altiplano Cundiboyacense,Tequendama I,,Formativo,Correal 1973,Análisis craneometrico con los restos paleoindigenas del Tequendama (Colombia).,72,C-14,,-4425,,Nivel 7,,Tumba,,,"La fecha es GrN, pero no tiene número además no es claro si es Ap o dC/aC.",TRUE,FALSE
Alpha 0565,1470,Magdalena medio,Guaduero,,Cacicazgos,"Hernandez, & Cáceres, 1989",Excavaciones arqueológicas en Guadero-Cundinamarca.,62,TL,Cerámica,480,294,Nivel 8,,Basurero,,,Ver reseña crítica de Therrien (1990).,FALSE,FALSE
Alpha 1520,560,Valles alto Calima y alto y medio del Cauca,El Dorado,,Cacicazgos,"Bray, et al. 1985; 1986:30",Report on the 1982 field season in Calima.,17,TL,Cerámica,1390,20%,Transición Horizontes A - B,,,Plataforma,,"Dudosa. Demasiado reciente dada su asociación con ""tiestos Yotoco"" (Bray et al. 1985: 17). Paleosuelo debajo de plataforma, Transición Horizontes A -B.  Plataforma 4 Trinchera 1. Para la segunda referencia es 1422 +/- 20%. En la tabla de la Fundación Erigaie aparece como 510 AP con una variación de 70.",TRUE,FALSE
Alpha 1740,510,Valles alto Calima y alto y medio del Cauca,Ceilán,,Cacicazgos,"Bray, et al. 1987;1988:39","The ancient agricultural landscape of Calima, Colombia.",453,TL,Cerámica,1440,70,,,Campo de cultivo,,Sonso,El N° de Laboratorio Alpha 1520 (Bray et al. 1988: 39)  es corregido en Cardale et al. (1989: 27).  Esta y la Beta 11805 datan aterrazamientos artificiales (tambos) y canales en pendiente del período Sonso. Hacienda Ceilán Trinchera C-D,TRUE,FALSE
Alpha 3030,800,Valles alto Calima y alto y medio del Cauca,La Bolivia,,Cacicazgos,Gähwiler-Walder 1988,Archaeological investigations in the Pavas-La Cumbre Area.,59,TL,Cerámica,1150,100,,400,Tumba,,Pavas,Entierro secundario en urna. Tumba 1,FALSE,FALSE
Alpha 3032,6100,Valles alto Calima y alto y medio del Cauca,La Escocia,,Formativo,"Gahwiler, 1988",Archaeological investigations in the Pavas-La Cumbre Area.,59,TL,Cerámica,-4150,1000,,,Tumba,,,Entierro primario. Descartada (Gähwiler 1989: 98). Tumba 1,TRUE,FALSE
B 2568,460,Valles alto Calima y alto y medio del Cauca,Varsovia,,Cacicazgos,"Bray, et al. 1981",Preliminary report of the 1980 field season,2,C-14,Carbón,1490,70,,,Tumba,,Sonso,,FALSE,FALSE
B 2570,610,Llanuras del Caribe cuencas bajas Sinú y San Jorge,Varsovia,,Cacicazgos,"Bray, et al. 1981",Preliminary report of the 1980 field season,2,C-14,Carbón,1340,70,,,Tumba,,Sonso,Varsovia//Entrada. Laboratorio Berna (Suiza),FALSE,FALSE
B 4030,900,Valles alto Calima y alto y medio del Cauca,La Sofía,,Cacicazgos,"Gahwiler, 1983",Preliminary reconnaissance in the Pavas-La Cumbre area.,43,C-14,Carbón,1050,90,,,Tumba,,Pavas,"Entierro secundario en urna. Ver Gahwiler (1989: 96, 98). Laboratorio Berna (Suiza). La Sofía Bitaco, aparecía con ese nombre inicialmente.",FALSE,FALSE
B 4031,810,Valles alto Calima y alto y medio del Cauca,Ocache,,Cacicazgos,"Gahwiler, 1983",Preliminary reconnaissance in the Pavas-La Cumbre area.,43,C-14,Carbón,1140,50,,,Tumba,,Pavas,"Entierro primario. La muestra de carbón fue sacada de un cuenco colocado sobre el pecho del finado, en una tumba con cámara. Ver Gahwiler (1989: 92, 98).  - Tumba C. Laboratorio Berna (Suiza). En el catalo de Eriagie aparece como Rancho Grande.",FALSE,FALSE
B 4221,1270,Valles alto Calima y alto y medio del Cauca,Arboledas,,Cacicazgos,"Gähwiler, 1988",Archaeological investigations in the Pavas-La Cumbre Area.,59,C-14,Carbón,680,80,,,Tumba,,Pavas,Ver Gahwiler (1989: 94). Laboratorio Berna (Suiza),FALSE,FALSE
B 4332,1030,Valles alto Calima y alto y medio del Cauca,La Amapola,,Cacicazgos,"Gähwiler, 1988",Archaeological investigations in the Pavas-La Cumbre Area.,59,C-14,Carbón,920,80,,,Tumba,,Pavas,Entierro secundario con urna. La Amapola Tumba 1. Laboratorio Berna (Suiza).,FALSE,FALSE
B 4679,1420,Valles alto Calima y alto y medio del Cauca,Purilia,,Cacicazgos,"Gahwiler, 1988",Archaeological investigations in the Pavas-La Cumbre Area.,"55, 59",C-14,Carbón,530,70,,200,Tumba,,Pavas,"Con base en las asociaciones de Beta 4679, 16945, 16946, 27884, 37577, 37578, 39368 y Durham 165-2BSpfg; Salgado y Rodríguez (1989), Cardale et al. (1989), Rodríguez (1992) y Salgado (1993) discuten la convivencia ""Yotoco-Sonso"".",TRUE,FALSE
B 4680,1240,Valles alto Calima y alto y medio del Cauca,La Amapola,,Cacicazgos,"Gahwiler, 1988",Archaeological investigations in the Pavas-La Cumbre Area.,59,C-14,Hueso,710,70,,180,Tumba,,Pavas,Entierro secundario con urna. Ver Gahwiler (1989: 97). La Amapola Tumba 4. Laboratorio Berna (Suiza),FALSE,FALSE
B 4681,1060,Valles alto Calima y alto y medio del Cauca,La Amapola,,Cacicazgos,"Gähwiler, 1988",Archaeological investigations in the Pavas-La Cumbre Area.,59,C-14,Carbón,890,80,,550,Tumba,,Pavas,"La fecha se saco de un fragmento de una vasija en el relleno de la bóveda que tenia carbón, se trataba de un entierro secundario con urna. Ver Gahwiler (1989: 98). La Amapola Tumba 5. Laboratorio Berna (Suiza)",FALSE,FALSE
B 4682,890,Valles alto Calima y alto y medio del Cauca,Rancho Grande,,Cacicazgos,"Gahwiler, 1988",Archaeological investigations in the Pavas-La Cumbre Area.,59,C-14,Hueso,1060,70,,450,Tumba,,Pavas,"Tumba 1 Pavas - Cauca Medio - Caldas hallada por Guaqueros. Un pozo rectangular y otro circular llegan a una cámara que incluía una figura antropomorfa tallada al estilo Tierradentro (Gahwiler, 1989: 98). Rancho Grande",FALSE,FALSE
B 4684,620,Valles alto Calima y alto y medio del Cauca,La Amapola,,Cacicazgos,"Gahwiler, 1988",Archaeological investigations in the Pavas-La Cumbre Area.,59,C-14,Carbón,1330,50,,,Habitación,,Pavas,"Ver Gahwiler (1989: 98). La Amapola Plataforma 1, Pit 1. Laboratorio Berna (Suiza)",FALSE,FALSE
B 4716,420,Valles alto Calima y alto y medio del Cauca,Pavitas,,Cacicazgos,"Gahwiler, 1988",Archaeological investigations in the Pavas-La Cumbre Area.,59,C-14,Carbón,1530,70,,,Tumba,,,Entierro secundario en urna. Dudosa para Gahwiler (1989: 98). Pavitas 1,TRUE,FALSE
B 53733,1560,Valles alto Calima y alto y medio del Cauca,La Elvira,,Paleoindio,Gnecco 2000,Ocupaciones tempranas de bosques tropicales de montaña.,79,C-14,,390,80,2,,,,,La fecha sale de la unidad 3S20.,FALSE,FALSE
Beta ?,330,Alto Magdalena,Santiago,,Colonial,"Urdaneta, 1988",Investigación arqueológica en el resguardo indígena de Guambía.,64,C-14,Carbón,1620,50,,30-50,Habitación,,Guambiano,"Para Drennan (1993:100) no es claro el contexto. Para Rodríguez (1992: 298) el material cerámico es Quebrada Seca. Para Urdaneta (1988, 1991) es reconocida como ""Guambiana"" por los Guambianos.",TRUE,FALSE
Beta 099862,7240,Macizo Antioqueño,Porce II,,,Castillo 1998,Los antiguos pobladores del Valle Medio del río Porce. Aproximación inicial desde el estudio arqueológico Porce II.,,,,-5290,80,,,,,,"Citado en Pinto 2003:40. No tengo acceso al original por eso no tiene página. Cantos rodados con bordes desgastados, cuas de piedra, placas planas, hachas con el borde pulido y el cuerpo tallado, martillos, percutores, puntas de flecha en cuarzo, raspadores y cuchillas de cuarzo. Semillas calcinadas, restos de fauna de especies menores.",FALSE,FALSE
Beta 100524,400,,El Antojo-Yacimiento 4,,Cacicazgos,"Múnera, Monsalve & Botero 1997",Arqueología de rescate vía alterna de la troncal de occidente: río Campo Alegre-Estadio Santa Rosa de Cabal. Informe Final.,,,,1550,80,,,,,,Información Erigaie.,TRUE,FALSE
Beta 100525,500,,El Antojo-Yacimiento 4,,Cacicazgos,"Múnera, Monsalve & Botero 1997",Arqueología de rescate vía alterna de la troncal de occidente: río Campo Alegre-Estadio Santa Rosa de Cabal. Informe Final.,,,,1450,100,,,,,,Información Erigaie.,TRUE,FALSE
Beta 100526,320,,El Antojo-Yacimiento 4,,Colonial,"Múnera, Monsalve & Botero 1997",Arqueología de rescate vía alterna de la troncal de occidente: río Campo Alegre-Estadio Santa Rosa de Cabal. Informe Final.,,,,1630,100,,,,,,Información Erigaie.,FALSE,FALSE
Beta 100527,450,,El Antojo-Yacimiento 4,,Cacicazgos,"Múnera, Monsalve & Botero 1997",Arqueología de rescate vía alterna de la troncal de occidente: río Campo Alegre-Estadio Santa Rosa de Cabal. Informe Final.,,,,1500,70,,,,,,Información Erigaie.,TRUE,FALSE
Beta 100528,700,,La Champiñorera I-Yacimiento 6,,Cacicazgos,Múnera; Monsalve & Botero 1997,Arqueología de rescate vía alterna de la troncal de occidente: río Campo Alegre-Estadio Santa Rosa de Cabal. Informe Final.,,,,1250,80,,,,,,Información Erigaie,FALSE,FALSE
Beta 100529,1650,,San Vicente-Yacimiento 2,,Cacicazgos,Múnera  & Botero 1997,Proyecto de conexión vial entre los valles de Aburrá y del río Cauca. Informe final.,,,,300,50,,,,,,Información Eriagie,FALSE,FALSE
Beta 100531,1520,,Garabato-Yacimiento 5,,Cacicazgos,Múnera & Botero 1997,Arqueología de rescate vía alterna de la troncal de occidente: río Campo Alegre-Estadio Santa Rosa de Cabal. Informe Final.,,,,430,50,,,,,,Información Erigaie,FALSE,FALSE
Beta 100533,2910,,El Indio I-Yacimiento 2,,Formativo,Múnera; Botero; Muñoz; Cadavid & Ospina 1997,Gasoducto de Distribución en el Valle del Aburrá. Rescate Arqueológico.,,,,-960,50,,,,,,Información Erigaie,TRUE,FALSE
Beta 100535,1180,,La Palma-Yacimiento 1,,Cacicazgos,Múnera; Botero; Muñoz; Cadavid &  Ospina 1997,Gasoducto de Distribución en el Valle del Aburrá. Rescate Arqueológico.,,,,770,120,,,,,,Información catalogo Erigaie,FALSE,FALSE
Beta 10108,930,Altiplano Cundiboyacense,Siquianeca,,Cacicazgos,"Boada, 1987",Asentamientos indígenas en el valle de La Laguna.,74,C-14,Carbón,1020,140,,,,,Muisca,"Con base en criterios cerámicos (tipo Naranja Pulido) se plantea la relación Guane-Muisca (Boada 1987: 136). Ver también Boada et al. 1988, 1989 y Boada 1991.",FALSE,FALSE
Beta 101957,1090,Valles alto Calima y alto y medio del Cauca,Palmira-PK1+500,,Cacicazgos,"Rodríguez, 1997","Rescate arqueológico sitios Los Arrayanes Pk 91+150, Villamaría-Caldas y El Pomo Pk 7+200 ramal a Manzanares, Fresno-Tolima. Informe final.",,,,860,50,,,,,,Información Erigaie.,FALSE,FALSE
Beta 101958,3310,Valles alto Calima y alto y medio del Cauca,Palmira-PK1+500,,Formativo,"Rodríguez, 1997","Rescate arqueológico sitios Los Arrayanes Pk 91+150, Villamaría-Caldas y El Pomo Pk 7+200 ramal a Manzanares, Fresno-Tolima. Informe final.",,,,-1360,50,,,,,,Información Erigaie.,FALSE,FALSE
Beta 101959,3320,Valles alto Calima y alto y medio del Cauca,Palmira-PK1+500,,Formativo,"Rodríguez, 1997","Rescate arqueológico sitios Los Arrayanes Pk 91+150, Villamaría-Caldas y El Pomo Pk 7+200 ramal a Manzanares, Fresno-Tolima. Informe final.",,,,-1370,50,,,,,,Información Erigaie.,FALSE,FALSE
Beta 102030,1750,,Támesis-Yacimiento 19,,Cacicazgos,"Martínez, 1997","Proyecto ""Parcelación Los Caminos del Cartama"". Estudio de impacto ambiental componente arqueológico.",,,,200,50,,,,,,Información Erigaie,FALSE,FALSE
Beta 10232,1440,Alto Magdalena,Morelia,,Cacicazgos,"Llanos, 1987;1988:13,43",Pautas de asentamiento Agustinianas en el cañon del río Granates-Saladobanco.,19,C-14,Carbón,510,50,,60,Tumba,,San Agustín,Cuadricula A. Asociado a sarcófago monolítico y estatua. Morelia Montículo I Corte I. El sitio había sido guaqueado con anterioridad.,FALSE,FALSE
Beta 10233,1050,Alto Magdalena,Morelia,,Cacicazgos,"Llanos, 1988",Arqueología de San Agustín. Pautas de asentamiento en el cañon del río Granates-Saladoblanco.,"13, 52",C-14,Carbón,900,100,,45,Basurero,,,Morelia Montículo I Corte II,FALSE,FALSE
Beta 102814,350,Valles alto Calima y alto y medio del Cauca,Santa Rosa-PK 1+750,,Colonial,"Bernal, 1997",Monitoreo arqueológico gasoducto de occidente. Informe final.,,,,1600,70,,,,,,Información Erigaie.,FALSE,FALSE
Beta 102815,1160,,Santa Rosa-PK 2+560,,Cacicazgos,"Bernal, 1997",Monitoreo arqueológico gasoducto de occidente. Informe final.,,,,790,90,,,,,,Información Erigaie.,FALSE,FALSE
Beta 102816,900,,Santa Rosa-PK 2+706,,Cacicazgos,"Bernal, 1997",Monitoreo arqueológico gasoducto de occidente. Informe final.,,,,1050,80,,,,,,Información Erigaie.,FALSE,FALSE
Beta 102817,950,,Montenegro-PK 1+060,,Cacicazgos,"Bernal, 1997",Monitoreo arqueológico gasoducto de occidente. Informe final.,,,,1000,50,,,,,,Información Eriagie,FALSE,FALSE
Beta 102818,240,Valles alto Calima y alto y medio del Cauca,Armenia-PK 3+770,,Colonial,"Bernal, 1997",Monitoreo arqueológico gasoducto de occidente. Informe final.,,,,1710,40,,,,,,Información de las tablas de Erigaie. Sin página.,TRUE,FALSE
Beta 102819,600,,La Tebaida-PK 39+565,,Cacicazgos,Bernal 1997,Monitoreo arqueológico gasoducto de occidente. Informe final.,,,,1350,90,,,,,,Información Erigaie,FALSE,FALSE
Beta 102820,900,,Caicedonia-PK 11+810,,Cacicazgos,"Bernal, 1997",Monitoreo arqueológico gasoducto de occidente. Informe final.,,,,1050,70,,,,,,Información Erigaie,FALSE,FALSE
Beta 102821,450,,Obando-PK 188+700,,Cacicazgos,"Bernal, 1997",Monitoreo arqueológico gasoducto de occidente. Informe final.,,,,1500,80,,,,,,Información Erigaie,FALSE,FALSE
Beta 102822,530,Macizo Andino del sur,Bugalagrande-PK 241+400,,Cacicazgos,"Bernal, Fernando 1997",Monitoreo arqueológico gasoducto de occidente. Informe final.,,,,1125,125,,,,,,Información proporcionada por Erigaie. No existe referencia completa para el texto.,FALSE,FALSE
Beta 102823,820,,San Pedro-PK276+750,,Cacicazgos,Bernal 1997,Monitoreo arqueológico gasoducto de occidente. Informe final.,,,,1130,70,,,,,,Información Eriagie.,FALSE,FALSE
Beta 102824,530,,San Pedro-PK278+200,,Cacicazgos,Bernal 1997,Monitoreo arqueológico gasoducto de occidente. Informe final.,,,,1420,120,,,,,,Información Eriagie.,FALSE,FALSE
Beta 102825,1630,Valles alto Calima y alto y medio del Cauca,Palmira-PK321+500,,Cacicazgos,"Rodríguez, 1997","Rescate arqueológico sitios Los Arrayanes Pk 91+150, Villamaría-Caldas y El Pomo Pk 7+200 ramal a Manzanares, Fresno-Tolima. Informe final.",,,,320,70,,,,,,Información Erigaie.,FALSE,FALSE
Beta 102869,620,Valles alto Calima y alto y medio del Cauca,Montenegro-Finca Chapinero,,Cacicazgos,"Salgado, 1997",Rescate arqueológico en los municipios de Montenegro (Quindío) y Bugalagrande (Valle del Cauca).," 33, 125",,Carbón,1330, 90,,,Tumba,,,"Tumba 1, Entierro de individuo adulto. 1 cántaro, 1 copa y 1 olla.",FALSE,FALSE
Beta 102872,630,Valles alto Calima y alto y medio del Cauca,Lucerna,,Cacicazgos,"Salgado, 1997",Rescate arqueológico en los municipios de Montenegro (Quindío) y Bugalagrande (Valle del Cauca).,"41,125",,,1320,150,,,Tumba,,,"Bugalagrande hacienda Lucerna. Unidad de Excavación 1, Entierro 1. Individuo adulto.69 fragmentos de cerámica pertenecientes al menos a dos vasijas completas. Rotos intencionalmente y colocados horizontalmente formando un ""piso"".",FALSE,FALSE
Beta 102874,330,Valles alto Calima y alto y medio del Cauca,Lucerna,,Colonial,"Salgado, 1997",Rescate arqueológico en los municipios de Montenegro (Quindío) y Bugalagrande (Valle del Cauca).,48,,,1620, 60,,86-100,Habitación,,,Unidad de Excavación 4 Lucerna (Valle del Cauca).,FALSE,FALSE
Beta 10333,400,Valles alto Calima y alto y medio del Cauca,Cabo de la Vela,,Cacicazgos,"Salgado, et al. 1993",Investigaciones arqueológicas en el poblado prehispánico de Jiguales - Calima (Primera Temporada),41,C-14,Carbón,1550,70,,,Habitación,,Sonso,"Ver Rodríguez y Bashilov (1987, 1988) y Salgado (1988). Los materiales datados se atribuyen a los ""indígenas sobrevivientes""  de ""la tradición cultural Sonso"", entre los siglos XV y XVII (Salgado et al. 1993: 41). Cabo de la Vela Plataforma 4",FALSE,FALSE
Beta 10334,930,Valles alto Calima y alto y medio del Cauca,Cabo de la Vela,,Cacicazgos,"Salgado, et al. 1993",Investigaciones arqueológicas en el poblado prehispánico de Jiguales - Calima (Primera Temporada),42,C-14,Carbón,1020,70,,,Habitación,,Yotoco,"Ver Salgado, Rodríguez & Bahilov 1984:41, Rodríguez y Bashilov 1987, 1988. Cabo de la Vela Plataforma 4A",FALSE,FALSE
Beta 103450,730,,La Angostura-Yacimiento 4,,Cacicazgos,Castillo 1997,Rescate y monitoreo arqueológico en el área del proyecto de la termoeléctrica La Sierra.,,,,1220,60,,,,,,Información Erigaie.,FALSE,FALSE
Beta 103451,700,,La Angostura-Yacimiento 4,,Cacicazgos,Castillo 1997,Rescate y monitoreo arqueológico en el área del proyecto de la termoeléctrica La Sierra.,,,,1250,70,,,,,,Información Erigaie.,FALSE,FALSE
Beta 103452,750,,La Angostura-Yacimiento 4,,Cacicazgos,Castillo 1997,Rescate y monitoreo arqueológico en el área del proyecto de la termoeléctrica La Sierra.,,,,1200,80,,,,,,Información Erigaie.,FALSE,FALSE
Beta 103453,850,,La Angostura-Yacimiento 4,,Cacicazgos,Castillo 1997,Rescate y monitoreo arqueológico en el área del proyecto de la termoeléctrica La Sierra.,,,,1100,80,,,,,,Información Erigaie.,FALSE,FALSE
Beta 103589,1590,,Torre 270,,Cacicazgos,Piazzini 1998,El programa de arqueología de ISA en el contexto de la arqueología de Colombia.,28,C-14,,360,50,Piso 1,,,,Clásico,"Sitio 5, T-1055",FALSE,FALSE
Beta 103590,1610,,Torre 270,,Cacicazgos,Piazzini 1998,El programa de arqueología de ISA en el contexto de la arqueología de Colombia.,28,C-14,Carbón,340,60,Piso 3,,,,Clásico,"Sitio 5, T-1055",FALSE,FALSE
Beta 103591,270,,Torre 382,,Colonial,Piazzini 1998,El programa de arqueología de ISA en el contexto de la arqueología de Colombia.,29,C-14,Carbón,1680,70,Nivel 4,15-20,,,Tardío,Sitio 116 T-0684,FALSE,FALSE
Beta 103592,240,,Torre 345,,Colonial,Piazzini 1998,El programa de arqueología de ISA en el contexto de la arqueología de Colombia.,29,C-14,Carbón,1710,50,Nivel 4,20-25,,,Tardío,Sitio 112 T-0942,FALSE,FALSE
Beta 103594,220,,Torre 8,,Colonial,Piazzini 1998,El programa de arqueología de ISA en el contexto de la arqueología de Colombia.,29,C-14,Carbón,1730,60,Nivel 4,20-25,,,Colonial Temprano,"Sitio 44, H-0089; Grupo de Yalcones",FALSE,FALSE
Beta 103685,1010,Altiplano Cundiboyacense,El Venado III,,Cacicazgos,Boada; Therrien & S. Mora 1989,Estilos cerámicos: territorios y gentes. Prospección Arqueológica en el sector Puente de Boyaca-Santa Sofia. Oleductos central de los Llanos.,,,,940,60,,,,,,"Información Erigaie, los presentan como sacado de Boada; Therrien & S. Mora 1989, pero es necesario confirmar.",TRUE,FALSE
