Contador,Autor,Año,Título,Publicado,Area
35065,Aceituno Francisco Javier & Nicolás Loaiza,2007,Domesticación del bosque en el Cauca medio colombiano entre el Pleistoceno final y el Holoceno medio,Archaeopress,Arqueología Colombiana
35561,"Aceituno Francisco Javier, Nicolás Loaiza, Miguel Eduardo Delgado-Burbano & GustavoBarrientos",2013,The initial human settlement of Northwest South America during the Pleistocene/Holocene transition: Synthesis and perspectives,"Quaternary International, 301: 23-33",Arqueología Colombiana
35066,"Aceituno, Francisco Javier &  Nicolás Loaiza",2015,The role of plants in the early human settlement of Northwest South America,"Quaternary International, 363: 20-27",Arqueología Colombiana
8966,"Acero, Milton Andrés.",2004,"Bioarqueología de una población Muisca temprano en San Carlos, Funza.",Fundación de Investigaciones Arqueológicas Nacionales. Editorial: Bogotá,Arqueología Colombiana
5166,"Acevedo Zapata, Jorge Luis; Silvia Helena Botero Arcila  & Carlo Emilio Piazzini Suarez",1995,Atlas arqueológico de Antioquia.,"Secretaria de Educación y Cultura, Extensión Cultural Departamental, Universidad de Antioquia, Instituto de Estudios Regionales, Medellín.",Arqueología Colombiana
35820,"Acosta Rodríguez, Juan David",2015,Las investigaciones arqueológicas en el departamento del Meta,Trabajo de grado presentado para optar al título de Antropólogo. Universidad Nacional de Colombia.,Arqueología Colombiana
36188,"Acosta Vergara, María Alejandra",2012,Una mirada a los marcadores óseos de actividad: aproximación al periodo Temprano (340 a. C.-440 d.C.) del valle geográfico del río Cauca,"Revista Colombiana de Antropología, 48(1): I69-I87.",Arqueología Colombiana
5260,"Acuña, Luís Alberto",1942,El arte de los indios colombianos.,"Ediciones Samper-Ortega, México D.F.",Arqueología Colombiana
5525,"Adames, Amparo",1982,Glosario de terminología técnica de cerámica arqueológica para Colombia.,"Tesis de Grado Universidad Nacional de Colombia (Inédito), Bogotá.",Arqueología Colombiana
5216,"Adames, Amparo",1988,Descripción técnica de la muestra fotográfica.,"Arte de la tierra, Cultura Tumaco pp 66-78. Colección Tesoros Precolombinos. Fondo de Promoción de la Cultura del banco Popular.",Arqueología Colombiana
6354,"Afanador, Claudia",1977,"Reseña etnohistórica del Valle de Atriz, Pasto.","Tesis de Grado Universidad de Los Andes (Inédito), Bogotá.",Arqueología Colombiana
12482,Agenda hoy,2018,Identifican áreas de vivienda prehispánica en Cumaral (Meta).,"Agenda Hoy, Enero 21 de 2018",Arqueología Colombiana
8922,"Alarcón, Andrés",2004,La idea de historia en arqueología. Reflexiones sobre las mitologías concernientes al estudio del espacio y el tiempo.,Revista de Estudiantes de Arqueología 2:42-51. Facultad de Ciencias Humanas. Universidad Nacional de Colombia.,Arqueología Colombiana
6196,"Alarcón, Jorge A.",1996,Prospección arqueológica de yacimientos para el Proyecto de Reposición de Tubería del Poliducto del Pacífico. Informe Final.,"ECOPETROL - Consorcio Riogrande Ingeniería S. A. - Condux S.A. de C.V., Bogotá. Inédito",Arqueología Colombiana
5473,"Alarcón, Jorge A.",1990,Exploraciones arqueológicas en el suroccidente de Cundinamarca.,"Boletín de Arqueología, 5(1):29-40.",Arqueología Colombiana
6237,"Alarcón, Jorge A.",1996,Proyecto de reposición de la tubería del poliducto del pacífico. Rescate arqueológico en el valle alto del río Dagua.,"Proyecto de Reposición de Tubería del Poliducto del Pacífico. Empresa Colombiana de Petroleos ECOPETROL, Bogotá.ICAN, Inédito.",Arqueología Colombiana
6326,"Alarcón, Jorge A.",1995,Rescate arqueológico en el valle alto del río Dagua.,"Boletín de Arqueología, 10(1):3-90",Arqueología Colombiana
6279,"Alarcón, Jorge A. &  Carlos Restrepo",1997,"Reconocimiento y prospección arqueológica de los primeros ocho kilómetros del oleoducto CPF Cupiagua - CPF Cusiana, municipio de Aguazul - Casanare",Bogotá: Oleoducto S.A. - Centro de Investigaciones Sociales Antonio Nariño. Inédito.,Arqueología Colombiana
6324,"Alarcón, Jorge A. & L. A. Segura",1989,Rescate arqueológico en el municipio de Aguazul-Casanare.,"ICAN, Inédito.",Arqueología Colombiana
5501,"Alcina Franch, José",1981,Fechas radiocarbónicas en la Arqueología del Ecuador.,"Revista Española de Antropología Americana, 95-101. Madrid.",Arqueología Colombiana
6022,"Alcina Franch, José, Alicia Alonso, Francois Bouchard & Mercedes Guinea.",1987,Navegación precolombina: el caso del litoral pacífico ecuatorial: evidencias e hipótesis.,"Revista Española de Antropología Americana, 17:35-73. Madrid.",Arqueología Colombiana
5813,"Alvarado, Jairo; Jorge Maldonado & Adrian Serna",1999,La pedagogía del pasado: posicionamientos del discurso arqueológico en el sistema educativo colombiano. Perspectivas para un Balance.,"Ponencia presentada a : I Congreso de arqueología en Colombia: La Arqueología Colombiana Ante los Nuevos Paradigmas del Siglo XXI. Sociedad Colombiana de Arqueología - Universidad de Caldas Manizales, 28 al 30 de octubre de 1999.",Arqueología Colombiana
5505,"Alvarado, jairo; Jorge Maldonado & Adrián Serna",2003,"Formas públicas de la arqueología y discursos escolares: Poder, memoria y pedagogía a través de las representaciones del pasado.","Arqueología al desnudo. Reflexiones sobre la práctica disciplinaria, eds., Cristóbal Gnecco y Emilio Piazzini, pp 223-265. Editorial Universidad del Cauca. Serie Estudios Sociales.",Arqueología Colombiana
9836,"Álvarez, María Paula &  Diego Martínez Celis",2005,"Procesos de documentación y conservación en los conjuntos pictográficos 20A y 20B (16, 19 y 20). Parque arqueológico de Facatativá.","Instituto Colombiano de antropología. Informe final, Bogotá. Inédito.",Arqueología Colombiana
6444,"Alzate, Fernando",1974,Sobre las investigaciones arqueológicas en el bajo río San Jorge.,"Boletín de Antropología, 4(13):7-13.",Arqueología Colombiana
6321,"Alzate, Luz Adriana",1999,Rescatando la Colección Lítica del Museo Universitario de la Universidad de Antioquia.,"Ponencia presentada a : I Congreso de arqueología en Colombia: La Arqueología Colombiana Ante los Nuevos Paradigmas del Siglo XXI. Sociedad Colombiana de Arqueología - Universidad de Caldas Manizales, 28 al 30 de octubre de 1999.",Arqueología Colombiana
13001,"Anderson, K.B. & Warwick Bray",2006,The amber of El Dorado: Class IB archaeological ambers associated with laguna Guatavita.,"Archaeometry, 48(4): 633–640.",Arqueología Colombiana
5172,"Andrade, Angela",1980,Bases para la estructuración de estudios arqueológicos en la región de Santa Marta.,"Tesis de Grado Universidad de Los Andes (Inédito), Bogotá.",Arqueología Colombiana
5213,"Andrade, Angela",1988,Desarrollo de los sistemas agrícolas tradicionales en la Amazonia,"Boletín del Museo del Oro, 21:39-59.",Arqueología Colombiana
5634,"Andrade, Angela",1986,Investigaciones arqueológica de los antrosoles de Araracuara.,"Fundación de Investigaciones Arqueológicas Nacionales, Banco de la República, Bogotá.",Arqueología Colombiana
5380,"Andrade, Angela",1983,Estudio arqueológico de los antrosoles de Araracuara (Amazonas).,"Boletín del Museo del Oro,, 14:35-40.",Arqueología Colombiana
6289,"Andrea, Gómez",1999,"Reconstrucción Paleoambiental de los Últimos Seismil años A.P. en la Laguna de la Magdalena, Páramo de las Papas Macizo Colombiano.","Ponencia presentada a : I Congreso de arqueología en Colombia: La Arqueología Colombiana Ante los Nuevos Paradigmas del Siglo XXI. Sociedad Colombiana de Arqueología - Universidad de Caldas Manizales, 28 al 30 de octubre de 1999.",Arqueología Colombiana
5413,"Angulo, Carlos",1962,Evidencias de la serie Barrancoide en el norte de Colombia.,"Revista Colombiana de Antropología, 11:73-89.",Arqueología Colombiana
5405,"Angulo, Carlos",1962,Evidence of the Barrancoid series in North Colombia.,"The Caribbean: contemporary Colombia. Editor Wilgus A. Curtis.University of Florida Press, Gainesville.",Arqueología Colombiana
5205,"Angulo, Carlos",1987,De Puerto Hormiga a la conquista española. Datos para una secuencia tentativa.,"Relaciones entre la Sociedad y el Ambiente. Actas del Segundo Simposio de la Fundación de Arqueología del Caribe, ed., Mario Sanoja, pp. 67-77. Washington.",Arqueología Colombiana
5013,"Angulo, Carlos",1978,Arqueología de la Ciénaga Grande de Santa Marta.,"Fundación de Investigaciones Arqueológicas Nacionales, Banco de la República, Bogotá.",Arqueología Colombiana
5995,"Angulo, Carlos",1995,Modos de vida en la prehistoria de la llanura Atlántica de Colombia.,Monografias Ceres No 7. Universidad del Norte.,Arqueología Colombiana
5012,"Angulo, Carlos",1986,Arqueología de la Ciénaga de Guájaro (Departamento del Atlántico).,"Boletín de Arqueología, 1(1):11-16.",Arqueología Colombiana
5533,"Angulo, Carlos",1988,Guájaro en la arqueología del norte de Colombia.,"Fundación de Investigaciones Arqueológicas Nacionales, Banco de la República, Bogotá.",Arqueología Colombiana
5532,"Angulo, Carlos",1986,Guájaro en la arqueología del norte de Colombia (1).,"Boletín de Arqueología, 1(3):49-53.",Arqueología Colombiana
5074,"Angulo, Carlos",1951,Arqueología de Turbana (Departamento del Atlántico).,"Divulgaciones Etnológicas, 2(3):6-61.",Arqueología Colombiana
5272,"Angulo, Carlos",1952,El Departamento del Atlántico y sus condiciones físicas.,"Revista de Geográfia 1:9-26, Universidad del Atlántico Barranquilla.",Arqueología Colombiana
11,"Angulo, Carlos",1981,La tradición Malambo.,"Fundación de Investigaciones Arqueológicas Nacionales, Banco de la República, Bogotá.",Arqueología Colombiana
5089,"Angulo, Carlos",1983,"Arqueología del valle de Santiago, norte de Colombia.","Fundación de Investigaciones Arqueológicas Nacionales, Banco de la República, Bogotá.",Arqueología Colombiana
6398,"Angulo, Carlos",1988,Revisión de la arqueología del Caribe colombiano,"Revisión critica de la arqueología del Caribe. Actas del segundo simposio de la fundación de arqueología del Caribe, ed., Iraida Vargas. 37-56. Washington D.C.",Arqueología Colombiana
36085,Anonimo,2015,"Arqueología, identidades culturales y cambios históricos",http://ensayoshistoricosyarqueologicos.blogspot.com/2015/04/arqueologia-identidades-culturales-y.html,Arqueología Colombiana
5826,Anónimo,1980,La tradición Malambo un complejo temprano en el noroeste de suramerica.,"Boletín del Museo del Oro, 3:34-37.",Arqueología Colombiana
5734,"Aparicio, Juan",2000,La búsqueda de una distinción científica en la arqueología de Colombia.,"Tesis de grado, Departamento de Antropología, Universidad de los Andes. Bogotá.",Arqueología Colombiana
5920,"Aparicio, Juan",2003,Los hechos científicos y la arqueología de Colombia.,"Arqueología al desnudo. Reflexiones sobre la práctica disciplinaria, eds., Cristóbal Gnecco y Emilio Piazzini, pp 267-299. Editorial Universidad del Cauca. Serie Estudios Sociales.",Arqueología Colombiana
8889,"Aparicio, Juan Ricardo",2002,La búsqueda de un nuevo consumidor del conocimiento arqueológico: el caso de los textos escolares.,"Revista de Arqueología del Área Intermedia, 4:115-136.",Arqueología Colombiana
5742,"Aprile-Gniset, Jacques",1991,"La ciudad colombiana. prehispánica, de conquista e indiana.",Biblioteca Banco Popular. Bogotá.,Arqueología Colombiana
13006,"Arango Puerta, Mauricio",2017,Informe sobre la guerra contra los indios pijaos por el contador y veedor André Pérez de Pisa 1611.,"Boletín Museo del Oro, 57: 4-57.",Arqueología Colombiana
8999,"Arango, Juanita",2005,La deidad protectora de la agricultura.,"Boletin del Museo del Oro, 53.",Arqueología Colombiana
6293,"Arango, Luis",1974,Recuerdos de la guaquería en el Quindío.,"Publicaciones Galería Cano. Tomos I y II, Bogotá.",Arqueología Colombiana
5133,"Arboleda, Carlos",1988,"Asentamiento prehispánicos en la cordillera occidental, Municipio de Santa fé de Antioquía.","Tesis Departamento de Antropología, Universidad de Antioquía, (Inédito). Medellín.",Arqueología Colombiana
8815,"Archila, Sonia",2005,Arqueobotánica en la Amazonía colombiana. Un modelo etnográfico para el análisis de maderas carbonizadas.,Fundación de Investigaciones Arqueológicas Nacionales (FIAN) - UNIANDES-CESO.,Arqueología Colombiana
6042,"Archila, Sonia",1986,Nuevo aporte cronológico para el área Muisca.,"Boletín de Arqueología, 1(2):35-38.",Arqueología Colombiana
4857,"Archila, Sonia",1991,A critical review of the environmental and archaeological information from a part of the Caribbean lowlands of Colombia.,"Report submitted in partial fulfilment of the requirements for the degree of M. Sc. in Archaeology of the University of London, University College of London, Institute of Archaeology, Department of Human Environment",Arqueología Colombiana
35947,"Archila, Sonia",2011,Apuntes sobre la investigación arqueológica en Colombia entre 2000 y 20IO,"Boletín Cultural y Bibliográfico, 45(79-80):3-41",Arqueología Colombiana
5974,"Archila, Sonia",1993,Medio ambiente y arqueología de las tierras bajas del caribe colombiano.,"Boletín del Museo del Oro, 34-35:111-164.",Arqueología Colombiana
5661,"Archila, Sonia",1986,Investigaciones arqueológicas en el noroccidente de Boyacá.,"Tesis de Grado Universidad de Los Andes (Inédito), Bogotá.",Arqueología Colombiana
5809,"Archila, Sonia",1996,La orfebrería de Malagana.,"Los Tesoros de los Señores de Malagana, pp. 53-95. Bogotá: Museo del Oro, Banco de la República.",Arqueología Colombiana
5608,"Archila, Sonia (ed)",1996,Los tesoros de los señores de Malagana.,"Bogotá, Museo del Oro, Banco de la República",Arqueología Colombiana
5614,"Arcila, Graciliano",1975,Introducción a la arqueología del valle de Aburrá.,"Universidad de Antioquia, Medellín.",Arqueología Colombiana
5633,"Arcila, Graciliano",1960,Investigaciones antropológicas en el Carmen del Atrato Departamento del Chocó.,"Boletín del Instituto de Antropología. Universidad de Antioquia, 2(7):3-30.",Arqueología Colombiana
5022,"Arcila, Graciliano",1953,Arqueología de Mutatá.,"Boletín del Instituto de Antropología. Universidad de Antioquia, 1(1):7-64.",Arqueología Colombiana
6142,"Arcila, Graciliano",1974,Posible influencia Maya en el Darien colombiano.,"Boletín de Antropología, 4(13):15-20.",Arqueología Colombiana
5938,"Arcila, Graciliano",1970,Los petroglifos de Itaguí.,"Boletín de Antropología, 3(12):185 -193.",Arqueología Colombiana
5088,"Arcila, Graciliano",1970,Arqueología del valle de Aburrá.,"Boletín de Antropología, 1(194):193-204.",Arqueología Colombiana
5586,"Arcila, Graciliano",1955,"Informe de las investigaciones realizadas en Dabeiba, Chigorodó y Acandi en Septiembre de 1954.","Boletín del Instituto de Antropología. Universidad de Antioquia, 1(3):247-264.",Arqueología Colombiana
5017,"Arcila, Graciliano",1942,Arqueología de La Paz y alto Opón.,"Cuadernillos de la Universidad de Antioquia, 83:1-39.",Arqueología Colombiana
4962,"Arcila, Graciliano",1955,Anotaciones sobre la ubicación de Santa María de la Antigua del Darien.,"Boletín del Instituto de Antropología. Universidad de Antioquia, 1(3):275-287.",Arqueología Colombiana
6419,"Arcila, Graciliano",1986,Santa María de la Antigua del Darién.,Presidencia de Colombia. Secretaria de Información y Prensa. Bogotá.,Arqueología Colombiana
6423,"Arciniegas, Germán, Clemencia Plazas & Jaime Echeverri",1990,"Secrets of El Dorado, Colombia.","Bogotá, El Sello Editorial.",Arqueología Colombiana
5949,"Ardila, Gerardo",1986,"Los Tiempos de las conchas. Ecología, historia y sociedad en la costa de la Guajira.",Manuscrito inédito.,Arqueología Colombiana
5934,"Ardila, Gerardo",1992,Los Nukak-Makú del Guaviare: mi primer encuentro con la gente de las palmas (Etnografía para la arqueología del poblamiento de América).,América Negra. 3:171-189.,Arqueología Colombiana
4906,"Ardila, Gerardo",1986,Alto de mira: dos fechas de C-14 de el Alto río Buritaca.,"Boletín de Arqueología, 1(1): 38-39.",Arqueología Colombiana
6197,"Ardila, Gerardo",1998,"Prospección Arqueológica del Cañón del río Porce, Noroeste de Antioquia, Colombia.","Medellín: Empresas Públicas de Medellín, Universidad de Antioquia, Centro de Investigaciones, Facultad de Ciencias Sociales y Humanas. Laboratorio de Arqueología. Infome Final. Inédito",Arqueología Colombiana
5466,"Ardila, Gerardo",1986,Exploración arqueológica del curso medio y bajo del río Tapias (Guajira).,"Boletín de Arqueología, 1(1):16-21.",Arqueología Colombiana
5041,"Ardila, Gerardo",1983,Arqueología de rescate. Proyecto carbonífero de El Cerrejón. Zona norte. Area de El Palmar.,"Carbocol, EPAM, Bogotá.",Arqueología Colombiana
5298,"Ardila, Gerardo",1992,El norte de América del Sur.,Arqueología de la América Andina.,Arqueología Colombiana
5040,"Ardila, Gerardo",1984,"Arqueología de rescate. Proyecto carbonífero de El Cerrejón, zona central, áreas de Patilla y El Paredón",Carbocol. EPAM. Bogotá.,Arqueología Colombiana
6199,"Ardila, Gerardo",1998,"Prospección Arqueológica del Valle del Riachón, Noroeste de Antioquia, Colombia.",Sin otra información.,Arqueología Colombiana
5638,"Ardila, Gerardo",1981,Investigaciones arqueológicas en Chía (1),"Boletín del Museo del Oro, 4:28-29.",Arqueología Colombiana
5639,"Ardila, Gerardo",1981,Investigaciones arqueológicas en Chía.,"Tesis de Grado Universidad Nacional de Colombia, 2 Tomos, Fundación de Investigaciones Arqueológicas Nacionales, Banco de la República (Inédito), Bogotá.",Arqueología Colombiana
5950,"Ardila, Gerardo",1996,Los tiempos de las conchas. Investigaciones arqueológicas en la cosa de la península de la Guajira.,Bogotá: Universidad Nacional de Colombia,Arqueología Colombiana
5500,"Ardila, Gerardo",1986,Fechados y bibliografía sobre la etapa lítica en Colombia.,"Maguare, 3:63-74.",Arqueología Colombiana
4871,"Ardila, Gerardo",1990,Acercamiento a la historia prehispánica de la Guajira.,"La Guajira, De la memoria al porvenir: una visión antropológica,  ed., Gerardo Ardila, pp. 59-80 Fondo FEN, Universidad Nacional de Colombia.",Arqueología Colombiana
5848,"Ardila, Gerardo",1999,Las historias de la arqueología en Colombia y las pugnas de poder.,"Ponencia presentada a : I Congreso de arqueología en Colombia: La Arqueología Colombiana Ante los Nuevos Paradigmas del Siglo XXI. Sociedad Colombiana de Arqueología - Universidad de Caldas Manizales, 28 al 30 de octubre de 1999.",Arqueología Colombiana
5015,"Ardila, Gerardo",1986,Arqueología de la Guajira.,"Boletín de Arqueología, 1(3):64-75.",Arqueología Colombiana
5256,"Ardila, Gerardo",1980,El arcaico en el altiplano andino colombiano.,"Ponencia Presentada al Segundo Congreso de Antropología en Colombia, Medellín. Boletín de Antropología Universidad de Antioquia :17-18-19 4(1).",Arqueología Colombiana
6341,"Ardila, Gerardo",1987,Reseña a Arqueología de Colombia. Un texto introductorio.,"Boletín del Museo del Oro, 19:150-153",Arqueología Colombiana
6045,"Ardila, Gerardo & Gustavo Politis",1989,Nuevos datos para un viejo problema.,"Boletín del Museo del Oro, 23:3-45.",Arqueología Colombiana
5325,"Ardila, Isaías",1978,El pueblo de los Guanes. Raíz gloriosa de Santander.,SENA,Arqueología Colombiana
6685,"Arevalo Uribe, Helena & Hernando Maldonado Pachón",1990,Una propuesta al formativo temprano en Colombia.,"Tesis de Grado Universidad de Los Andes (Inédito), Bogotá.",Arqueología Colombiana
36192,"Argüello García, Pedro María; Rodríguez Buitrago & Juan Carlos",2013,Arte rupestre y ritual. Un estudio arqueológico de los petroglifos de El Colegio (Cundinamarca),"Revista Colombiana de Antropología, 49(1): 241-277.",Arqueología Colombiana
9850,"Argüello, García Pedro María",2000,Historia de la investigación del arte rupestre en Colombia.,http://www.rupestreweb.info/colombia.htm RUPESTREWEB-Publicación electrónica de arte rupestre de America Latina,Arqueología Colombiana
9846,"Argüello, García Pedro María",0,Restauración y educación en el arte rupestre. Notas sobre un caso  Colombiano (Parque arqueológico de Facatativá) Comentario Por María Paula Álvarez.,http://www.rupestreweb.info/facaresta.html  RUPESTREWEB-Publicación electrónica de arte rupestre de America Latina.,Arqueología Colombiana
9848,"Argüello, García Pedro María & Diego Martínez Celis",2004,"Procesos tafonómicos en el arte rupestre: un caso de conservación  diferencial de pinturas en el altiplano cundiboyacense, Colombia.",http://www.rupestreweb.info/sutatausa.html  RUPESTREWEB-Publicación electrónica de arte rupestre de America Latina.,Arqueología Colombiana
10276,"Arguello, Pedro M.",2000,Diferenciación técnica como diferenciador cultural: el caso del arte rupestre del suroccidente de Cundinamarca.1,"Rupestre/web, http://rupestreweb.tripod.com/arguello.html",Arqueología Colombiana
9857,"Argüello, Pedro M.",1999,Diferenciación técnica como diferenciador cultural: el caso del arte rupestre del suroccidente de Cundinamarca.,http://www.rupestreweb.info/arguello.html RUPESTREWEB-Publicación electrónica de arte rupestre de America Latina,Arqueología Colombiana
3610,"Arroyave, Verónica; Herrera, Leonor; López, Carlos Eduardo",2018,"Tecnologó, forma y función de instrumentos bifaciales multiuso enmangable (IBME) del aeropuerto.","International Journal of South American Archaeology, - IJSA 12:26-43",Arqueología Colombiana
6468,"Arrubla, Gerardo",1924,Templo de Suamox.,Santa Fé y Bogotá 3(17):262-273.,Arqueología Colombiana
6469,"Arrubla, Gerardo",1924,Templo del Sol.,"Boletín de Historia y Antigüedades, 14 (165):539-541.",Arqueología Colombiana
5421,Asociación de Antropólogos Egresados de la Universidad de Antioquia.,1994,"Excavación finca La Maporita. Y rescate en las líneas de flujo de 10, 12 y 20 pulgadas.",Bogotá: British Petroleum Company (LTD). Inédito.,Arqueología Colombiana
4972,"Ayala, Gloria & Sylvia Botero",1980,Aponte: estudio etno-arqueológico del poblamiento de una comunidad viva.,"Tesis de Grado Universidad de Los Andes (Inédito), Bogotá.",Arqueología Colombiana
5872,"Ayala, Leonardo",1964,Las tumbas de Tierradentro.,"Revista Arco, No 31.  Bogotá.",Arqueología Colombiana
6524,"Ayala, Leonardo",1963,Tierradentro la serranía de los muertos.,"Historia del Arte Colombiano, Salvat Editores, pp. 149-188, Bogotá.",Arqueología Colombiana
5905,"Ayala, Leonardo & Pablo Gamboa",1983,Los artifices de la sierra y el mar.,"Historia del Arte Colombiano, Salvat Editores, pp. 387-440, Bogotá.",Arqueología Colombiana
5874,Ayala. Leonardo,1983,Las tumbas pintadas de Tierradentro.,"Historia del Arte Colombiano, Salvat Editores, pp. 189-121, Bogotá.",Arqueología Colombiana
10277,"Banco de la República, área cultural Cartagena",1999,El período formativo en la costa caribe colombiana.,"Edición original: Cartagena, El banco, 1999. Banco de la República, área cultural Cartagena. Notas: catálogo de la exposición coordinada por el área cultural de Cartagena y que fue expuesta en el 2001.",Arqueología Colombiana
5827,"Baquero, Alvaro",1989,La tradición oral de los Guahibos como puente histórico para la investigación arqueológica en los Llanos Orientales.,"Boletín del Museo del Oro, 23:77-93.",Arqueología Colombiana
5811,"Baquero, Alvaro",1988,La otra opinión. Ensayo sobre la tradición oral de los indígenas como fuente histórica para la arqueología y la historia de los Llanos.,"Ponencia presentada al simposio Internacional de Historia de los Llanos Colombo-Venezolanos. Villavicencio, Meta. (Inédito).",Arqueología Colombiana
4896,"Baquero, Alvaro",1982,Algunas consideraciones sobre el estado de la investigación arqueológica de la Orinoquia Colombiana.,Ponencia Presentada en el Primer Seminario de Antropología Amazónica. Instituto Colombiano de Antropología. Septiembre 20-26. (Inédito). Bogotá.,Arqueología Colombiana
6264,"Baquero, Alvaro",1984,Reconocimiento arqueológico en el alto río Vichada.,"Fundación de Investigaciones Arqueológicas del Banco de la República, Bogotá, Inédito",Arqueología Colombiana
36121,"Baquero, Alvaro",1989,"La tradicion oral de los Guahibos, como fuente historica para la investigacion arqueologica en los Llanos Orientales","Boletín del Museo del Oro,23: 77-93.",Arqueología Colombiana
6397,"Baquero, Alvaro & Elizabeth Marquez",1984,Resúmen de los trabajos arqueológicos en los Llanos Orientales colombianos.,"Encuentro Nacional de Investigadores sobre la Orinoquia, pp. 63-65. ICFES, serie Memoria de eventos científicos colombianos.",Arqueología Colombiana
5790,"Barney Cabrera, Eugenio",1983,La geometría del oro en el Tolima.,"Historia del Arte Colombiano, Salvat Editores, pp. 361-386, Bogotá",Arqueología Colombiana
5944,"Barney Cabrera, Eugenio",1983,"Los Quimbayas, ceramistas y orfebres.","Historia del Arte Colombiano, Salvat Editores, pp. 322-360, Bogotá.",Arqueología Colombiana
5486,"Barney Cabrera, Eugenio",1983,Expresiones del arte Calima .,"Historia del Arte Colombiano, Salvat Editores, pp 296-320, Bogotá",Arqueología Colombiana
5259,"Barney Cabrera, Eugenio",1964,"El arte Agustiniano, boceto para una interpretación estética.","Escuela de Bellas Artes, Universidad Nacional, Bogotá.",Arqueología Colombiana
5838,"Barney Cabrera, Eugenio",1983,Las culturas Andinas del sur.,"Historia del Arte Colombiano, Salvat Editores, pp. 481-514, Bogotá",Arqueología Colombiana
5757,"Barney Cabrera, Eugenio",1983,La cultura del maíz y la sal.,"Historia del Arte Colombiano, Salvat Editores, pp 515-548, Bogotá",Arqueología Colombiana
5330,"Barney Cabrera, Eugenio",1983,El universo del mito.,"Historia del Arte Colombiano, Salvat Editores, pp. 121-148, Bogotá.",Arqueología Colombiana
6160,"Barney Cabrera, Eugenio",1983,Prehistoria del arte indígena.,"Historia del Arte Colombiano, Salvat Editores, pp. 33-60, Bogotá.",Arqueología Colombiana
5839,"Barney Cabrera, Eugenio",1983,Las culturas de la llanura Atlántica.,"Historia del Arte Colombiano, Salvat Editores, pp. 449-480, Bogotá",Arqueología Colombiana
5264,"Barney Cabrera, Eugenio",1983,El arte y artesanias de los Chibchas.,"Historia del Arte Colombiano, Salvat Editores, pp. 549-592, Bogotá.",Arqueología Colombiana
6409,"Barney Cabrera, Eugenio",1983,"San Agustín, un pueblo de escultores.","Historia del Arte Colombiano, Salvat Editores, pp. 61-94, Bogotá.",Arqueología Colombiana
6549,"Barney Cabrera, Eugenio",1983,"Tumaco, escultura en arcilla.","Historia del Arte Colombiano, Salvat Editores, pp. 214-240, Bogotá",Arqueología Colombiana
6408,"Barney Cabrera, Eugenio",1983,"San Agustín, centro religioso y artistico.","Historia del Arte Colombiano, Salvat Editores, pp. 95-120, Bogotá",Arqueología Colombiana
