Autor,Título,Año,Publicado,Editado,Publicación internacional,Sitios,Tema,Período,Etapa,Región,Asunto,Tipo de proyecto,Comentario,Requerido
"Ardila, Gerardo",Alto de mira: dos fechas de C-14 de el Alto río Buritaca.,1986,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Sierra Nevada,,Investigación básica,,FALSE
"Herrera, Luisa Fernanda; Cavelier Inés & Santiago Mora",Amazonas: agricultura y el manejo del bosque.,1992,,TRUE,FALSE,No estoy seguro de el orden de los autores.,Arqueología sitio/localidad,,Cacicazgos,Tierras bajas orientales,,Investigación básica,,FALSE
"Herrera, Leonor",Amazonía colombiana.,1989,,TRUE,FALSE,,Síntesis datos,,Cacicazgos,Tierras bajas orientales,,Investigación básica,,FALSE
"Mora, Santiago","Amazonía, pasado y presente de un territorio remoto.",2006,,FALSE,FALSE,,Teoría arqueológica,,,Tierras bajas orientales,,,,FALSE
"Mora, Santiago",Ambito pasado y presente en la arqueología colombiana.,2000,,TRUE,TRUE,,Teoría arqueológica,,,,,Investigación básica,,FALSE
"Cavelier, Inés & Santiago Mora (eds)",Ambito y ocupaciones tempranas de la América tropical.,1995,,TRUE,FALSE,,Arqueología sitio/localidad,,Paleoindio,,,Investigación básica,,FALSE
"Tolstoy, Paul & Warren R. DeBoer","An archaeological sequence for the Santiago-Cayapas river Basin, Esmeraldas, Ecuador.",1989,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Ecuador,,Investigación básica,,FALSE
"Bolian, Charles","An archaeological survey of the Trapecio of Amazonas, Colombia.",1972,,FALSE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Tierras bajas orientales,,Investigación básica,,FALSE
"Castillo, Neyla",Análisis arqueozoológico y arqueobotánico correspondiente al Proyecto de Rescate y Monitoreo de la Central Termoeléctrica La Sierra.,1997,,FALSE,FALSE,,Materiales Arqueológicos,,,,,Rescate arqueológico,,FALSE
"Peña, Germán Alberto & Gaspar Morcote",Análisis Arqueozoológico y Arqueobotánico. Proyecto de Rescate y Monitoreo de la Central Termoeléctrica La Sierra.,1997,,FALSE,FALSE,,Materiales Arqueológicos,,,,,Rescate arqueológico,,FALSE
"Correal, Gonzalo",Análisis craneometrico con los restos paleoindigenas del Tequendama (Colombia).,1973,,TRUE,FALSE,,Arqueología sitio/localidad,,,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"McBride, John Robert",Analisis de artefactos cortantes y puntas de proyectil: una aplicación de antropología experimental en un universo de artefactos líticos y osteokineticos de origen arqueológico colombianos.,1991,,FALSE,FALSE,Cota,Materiales Arqueológicos,,Paleoindio,,,Investigación básica,Arqueología experimental con artefactos líticos.,FALSE
"Cadavid, Gilberto",Análisis de C-14. Fecha para un basurero en Buritica 200.,1986,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Sierra Nevada,,Investigación básica,,FALSE
"Broadbent, Sylvia","Análisis de cerámica chibcha de las regiones de Ráquira, y Chocontá, Guatavita, Funza, Mosquera y Tunjuelito.",1967,,FALSE,FALSE,,Arqueología sitio/localidad,Muisca,Cacicazgos,Altiplano Cundiboyacense,,Investigación básica,,FALSE
Fundación Erigaie,Análisis de macrorestos del oleoducto Putumayo - Mocoa.,1995,,FALSE,FALSE,,Materiales Arqueológicos,,,,Paleobotánica,Rescate arqueológico,,FALSE
Fundación Erigaie,"Análisis de macrorrestos de sitios arqueológicos del valle del Río Dagua, Valle del Cauca.",1996,,FALSE,FALSE,,Materiales Arqueológicos,,,Valles alto Calima y alto y medio del Cauca,Paleobotánica,Rescate arqueológico,,FALSE
Fundación Erigaie,"Análisis de macrorrestos de un sitio arqueológico en Dagua, Valle del Cauca.",1997,,FALSE,FALSE,,Arqueología sitio/localidad,,,,,Rescate arqueológico,,FALSE
"Morcote, Gaspar","Análisis de macrorrestos del sitio las Delicias, Bogotá, Cundinamarca.",1995,,FALSE,FALSE,,Materiales Arqueológicos,,,,Paleobotánica,Rescate arqueológico,,FALSE
"Restrepo, Carlos","Análisis de materiales cerámicos de Araracuara,  Amazonía Colombiana.",1992,,FALSE,FALSE,Abeja,Materiales Arqueológicos,,Cacicazgos,Tierras bajas orientales,,Investigación básica,Clasificación preliminar de material cerámico.,FALSE
"Saunaluoma, Sanna","Análisis de materiales líticos de un sitio precerámico del medio río Caquetá, Amazonía colombiana",1994,,FALSE,FALSE,,Materiales Arqueológicos,,Paleoindio,Tierras bajas orientales,,Investigación básica,,FALSE
Fundación Erigaie,"Análisis de polen y macrorestos del Valle de Sibundoy, Putumayo.",1995,,FALSE,FALSE,,Materiales Arqueológicos,,,,Paleobotánica/Palinología,Rescate arqueológico,,FALSE
"Herrera, Luisa Fernanda","Análisis de polen, sitio La Cocotera TR-4.",1988,,TRUE,FALSE,,Arqueología sitio/localidad,,,Costa Pacífica,Palinología,Investigación básica,Palinología,FALSE
"Morcote, Gaspar",Análisis de restos arqueobotánicos identificados en el proyecto: Oleoducto CPF-CUPIAGUA. CPE-CUSIANA.,1998,,FALSE,FALSE,,Materiales Arqueológicos,,,Tierras bajas orientales,,Rescate arqueológico,,FALSE
"Peña, Germán Alberto & Gaspar Morcote",Análisis de restos arqueozoológicos y arqueobotánicos.,1997,,FALSE,FALSE,,Materiales Arqueológicos,,,,,Rescate arqueológico,,FALSE
"Morcote, Gaspar",Análisis de restos vegetales.,1996,,FALSE,FALSE,,Materiales Arqueológicos,,,,,Rescate arqueológico,,FALSE
"Pulido, René Alejandro",Análisis del material arqueológico recuperado durante las excavaciones del punto K4+750 del gasoducto Montañuelo-Gualanday.,1996,,FALSE,FALSE,La Quinta,Arqueología sitio/localidad,,Cacicazgos,,Materiales arqueológicos,Rescate arqueológico,,FALSE
"Rojas Mora, Sneider; Montejo Gaitán, Fernando","Análisis espacial del sitio arqueológico San Pedro, ubicado en el bajo río San Jorge, Caribe colombiano",2015,,FALSE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Llanuras del Caribe cuencas bajas Sinú y San Jorge,,Investigación básica,,FALSE
"Duque, Andrés & Orlando Rangel",Análisis fitosociológico de la vegetación paramuna del parque natural Puracé,1989,,TRUE,FALSE,,Arqueología sitio/localidad,,,Valles alto Calima y alto y medio del Cauca,Palinología,Investigación básica,,FALSE
"Correa, Francois",Análisis formal del vocabulario de parentesco Muisca.,1992,,TRUE,FALSE,,Linguistica,Muisca,Cacicazgos,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Rodríguez, José Vicente","Análisis osteométrico, osteoscópico y paleopatológico de los restos oseos de Soacha.",1987,,FALSE,FALSE,Soacha,Materiales Arqueológicos,,Cacicazgos,Altiplano Cundiboyacense,Osteología,Rescate arqueológico,"En las referncias de Franz aparece con el año de 1986, revisar.",FALSE
"Herrera, Luisa Fernanda",Análisis palinológico de los sitios de Palmira (Perfil 6) y Barranquilla Alta (Perfil 14).,1989,,TRUE,FALSE,,Arqueología sitio/localidad,,,Alto Magdalena,Palinología,Investigación básica,,FALSE
"Herrera, Luisa Fernanda & Fernando, Piñeros",Análisis palinológico de los sitios de Pilimbalá (Perfil 15) y Laguna San Rafael (Perfil 16).,1989,,TRUE,FALSE,,Arqueología sitio/localidad,,,Alto Magdalena,Palinología,Investigación básica,,FALSE
"Herrera, Luisa Fernanda","Análisis palinológico de los sitios Pipintá, La Dorada, Caldas. Ciénaga del Tigre, Barrancabermeja, Santander.",1995,,FALSE,FALSE,,Materiales Arqueológicos,,,,Palinología,Rescate arqueológico,,FALSE
"Herrera, Luisa Fernanda","Análisis palinológico de muestras del sitio arqueológico de Malagana, Palmira, Valle del Cauca.",1995,,FALSE,FALSE,,Materiales Arqueológicos,,,,Palinología,Rescate arqueológico,,FALSE
"Herrera, Luisa Fernanda",Análisis palinológico de sitios arqueológicos del Proyecto Hidroeléctrico Porce I.,1996,,FALSE,FALSE,,Materiales Arqueológicos,,,,Palinología,Rescate arqueológico,,FALSE
"Espejo, Nohora & Orlando, Rangel",Análisis palinológico del sitio Cabaña San Nicolás (Perfil 8) en el parque Puracé.,1989,,TRUE,FALSE,San Nicolás,Arqueología sitio/localidad,,,Alto Magdalena,Palinología,Investigación básica,,FALSE
"Piñeros, Fernando",Análisis palinológico del sitio del cráter de Merenberg (Perfil CMI).,1989,,TRUE,FALSE,San Nicolás,Arqueología sitio/localidad,,Cacicazgos,Alto Magdalena,Palinología,Investigación básica,,FALSE
"Herrera, Luisa Fernanda",Análisis palinológico.,1985,,TRUE,FALSE,,Arqueología sitio/localidad,,,Alto Magdalena,Palinología,Investigación básica,,FALSE
"Gnecco, Cristóbal y Mercedes Bravo","Análisis sintáctico de la tecnología de reducción bifacial en San Isidro, un sitio de cazadores-recolectores del holoceno temprano [valle de Popayán].",1994,,TRUE,FALSE,,Materiales Arqueológicos,,Paleoindio,Alto Magdalena,,Investigación básica,,FALSE
"Gnecco, Cristóbal & Mercede Bravo","Análisis sintáctico de la tecnologíade reducción bifacial en San Isidro, un sitio de cazadores-recolectores del holoceno temprano.",1994,,TRUE,FALSE,San Isidro,Materiales Arqueológicos,,Paleoindio,Valles alto Calima y alto y medio del Cauca,,Investigación básica,,FALSE
"Otero Helda, Gustavo Santos",Análisis tecnológico de conjuntos líticos del Magdalena Medio (Puerto Boyacá y Puerto Berrío).,1999,,FALSE,FALSE,,Materiales Arqueológicos,,,Magdalena medio,,,,FALSE
"Recasens, José & Víctor Oppenheim",Análisis tipológico de materiales cerámicos y líticos procedentes del Chocó.,1944,,TRUE,FALSE,,Materiales Arqueológicos,,Cacicazgos,Costa Pacífica,,Investigación básica,,FALSE
"Oppenheim, Víctor & José Recasens","Análisis tipológico de materiales cerámicos y líticos, procedentes del Chocó.",1944,,TRUE,FALSE,,Materiales Arqueológicos,,Cacicazgos,Costa Pacífica,,Investigación básica,,FALSE
"Tovar, Arnold",Análisis y síntesis de la arqueología en el Tolima.,1982,,FALSE,FALSE,,Síntesis datos,,Cacicazgos,Magdalena medio,,Investigación básica,,FALSE
"Schultes, Richard & Alec Bright",Ancient Gold pectorals from Colombia: Mushroom effigies.,1979,,TRUE,FALSE,,Materiales Arqueológicos,,Cacicazgos,,Botánica,Investigación básica,,FALSE
"Helms, Mary",Ancient Panama. Chiefs in serach of power.,1979,,FALSE,FALSE,,Teoría arqueológica,,Cacicazgos,,Orfebrería,,,FALSE
"Bruhns, Karen","Ancient pottery of middle Cauca Valley, Colombia.",1976,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Valles alto Calima y alto y medio del Cauca,,Investigación básica,,FALSE
"Bruhns, Karen",Ancient pottery of the middle Cauca Valley.,1967,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Valles alto Calima y alto y medio del Cauca,,Investigación básica,,FALSE
"Bruhns, Karen",Ancient South America.,1994,,TRUE,FALSE,,Síntesis datos,,,,,Investigación básica,,FALSE
"Helmes, Mary W",Anciente Panama. Chiefs in search of power.,1979,,TRUE,FALSE,,,,Cacicazgos,,"Orfebreria, poder cacical",Investigación básica,,FALSE
"Vargas, Omar",Anexo 1. Estudio geológico para el proyecto arqueológico Oleoducto CPF Cupiagua - CPF Cusiana.,1998,,FALSE,FALSE,,Materiales Arqueológicos,,,,Análisis materias primas,Rescate arqueológico,,FALSE
"Botero, Pedro",Anexo 2. Finca Santa Marta. Análisis geo-arqueológico.,1998,,FALSE,FALSE,,Materiales Arqueológicos,,,Tierras bajas orientales,,Rescate arqueológico,,FALSE
"Morcote, Gaspar",Anexo 4. Análisis de restos arqueobotánicos identificados en el proyecto: Oleoducto CPF Cupiagua - CPF Cusiana.,1998,,TRUE,FALSE,,Materiales Arqueológicos,,,Tierras bajas orientales,,Rescate arqueológico,,FALSE
"Llanos, Juan Manuel",Anexo 5. Oleoducto CPF Cupiagua - CPF Cusiana. Análisis de material lítico. Etapa de excavaciones.,1998,,FALSE,FALSE,,Arqueología sitio/localidad,,,Tierras bajas orientales,,Rescate arqueológico,,FALSE
"Mora, Santiago",Anotaciones a un modelo: ¿Qué estudia la arqueología en el área Muisca?,1990,,TRUE,FALSE,,Teoría arqueológica,Muisca,Cacicazgos,Altiplano Cundiboyacense,,Investigación básica,Crítica a los esquemas empleados en el estudio de los Muiscas,FALSE
"Vargas, Marco",Anotaciones históricas del Magdalena.,1948,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Alto Magdalena,,Investigación básica,,FALSE
"Llanos, Héctor",Anotaciones metodológicas sobre la alfareria prehispánica.,1987,,TRUE,FALSE,,Teoría arqueológica,,Cacicazgos,Alto Magdalena,,Investigación básica,,FALSE
